         7890704 function calls (7819051 primitive calls) in 1.980 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.153    0.026    0.694    0.116 _batch_writer.py:1154(_write_single_edge_list_to_file)
    20162    0.113    0.000    0.160    0.000 _translate.py:157(_filter_props)
   240507    0.066    0.000    0.075    0.000 _mixins.py:287(__getitem__)
    10728    0.057    0.000    0.146    0.000 digraph.py:748(add_edges_from)
    63265    0.055    0.000    0.111    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.049    0.049    0.087    0.087 _batch_writer.py:867(_write_single_node_list_to_file)
   546753    0.047    0.000    0.048    0.000 {method 'get' of 'dict' objects}
   727499    0.046    0.000    0.046    0.000 {method 'keys' of 'dict' objects}
584132/583992    0.046    0.000    0.055    0.000 {built-in method builtins.isinstance}
        1    0.045    0.045    0.090    0.090 c_parser_wrapper.py:203(read)
    60046    0.038    0.000    0.070    0.000 depth_first_search.py:18(dfs_edges)
    10000    0.037    0.000    0.037    0.000 adapter_omnipath_networks.py:461(_generate_properties)
    10163    0.037    0.000    0.141    0.000 adapter_omnipath_networks.py:187(get_nodes)
   518063    0.037    0.000    0.037    0.000 {method 'append' of 'list' objects}
    10001    0.037    0.000    0.177    0.000 adapter_omnipath_networks.py:207(get_edges)
   152302    0.031    0.000    0.056    0.000 _misc.py:214(<lambda>)
   240333    0.029    0.000    0.104    0.000 base.py:559(__iter__)
    10001    0.027    0.000    0.431    0.000 _batch_writer.py:526(_get_all_labels)
       45    0.027    0.001    0.027    0.001 {method 'read' of '_ssl._SSLSocket' objects}
   120811    0.026    0.000    0.038    0.000 _neo4j.py:66(_quote_string)
    10162    0.025    0.000    0.043    0.000 _create.py:52(__post_init__)
   274693    0.023    0.000    0.023    0.000 {method 'replace' of 'str' objects}
   245265    0.019    0.000    0.019    0.000 {method 'lower' of 'str' objects}
    10668    0.019    0.000    0.066    0.000 memory.py:313(add)
    14543    0.019    0.000    0.022    0.000 notation3.py:1386(qname)
    68702    0.016    0.000    0.020    0.000 notation3.py:552(tok)
    61066    0.016    0.000    0.149    0.000 __init__.py:179(sub)
250088/239189    0.016    0.000    0.018    0.000 {built-in method builtins.len}
    63728    0.016    0.000    0.024    0.000 __init__.py:280(_compile)
        2    0.016    0.008    0.016    0.008 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    60040    0.015    0.000    0.163    0.000 _misc.py:199(sentencecase_to_pascalcase)
   122758    0.015    0.000    0.019    0.000 {method 'add' of 'set' objects}
    40000    0.014    0.000    0.038    0.000 adapter_omnipath_networks.py:30(stable_node_id)
   152302    0.014    0.000    0.014    0.000 {method 'group' of 're.Match' objects}
    69305    0.013    0.000    0.023    0.000 notation3.py:1305(skipSpace)
       21    0.013    0.001    0.031    0.001 boolean.py:347(_from_sequence_of_strings)
   137579    0.013    0.000    0.013    0.000 {method 'update' of 'dict' objects}
    26697    0.013    0.000    0.028    0.000 notation3.py:1924(normalise)
    40000    0.012    0.000    0.020    0.000 adapter_omnipath_networks.py:26(normalise_entity_type)
14914/11478    0.012    0.000    0.136    0.000 notation3.py:925(node)
    10001    0.012    0.000    0.340    0.000 _translate.py:205(translate_edges)
    14473    0.012    0.000    0.059    0.000 notation3.py:1229(uri_ref2)
    10163    0.012    0.000    0.239    0.000 _translate.py:75(translate_nodes)
    51373    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
    60034    0.011    0.000    0.174    0.000 _translate.py:483(name_sentence_to_pascal)
    10012    0.011    0.000    0.021    0.000 digraph.py:344(__init__)
   152304    0.011    0.000    0.011    0.000 {method 'upper' of 'str' objects}
    10162    0.011    0.000    0.039    0.000 _batch_writer.py:784(consume)
    10008    0.010    0.000    0.198    0.000 depth_first_search.py:115(dfs_tree)
        2    0.010    0.005    0.010    0.005 {method 'connect' of '_socket.socket' objects}
    40861    0.010    0.000    0.010    0.000 term.py:167(__eq__)
    60061    0.010    0.000    0.014    0.000 digraph.py:912(successors)
    10000    0.009    0.000    0.073    0.000 adapter_omnipath_networks.py:425(__init__)
       12    0.009    0.001    0.009    0.001 string_.py:1097(memory_usage)
   240495    0.009    0.000    0.009    0.000 _mixins.py:107(_box_func)
30035/10016    0.009    0.000    0.213    0.000 backends.py:541(_call_if_no_backends_installed)
    35450    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
       48    0.008    0.000    0.008    0.000 missing.py:260(_isna_string_dtype)
    10000    0.008    0.000    0.013    0.000 _deduplicate.py:54(edge_seen)
    59871    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa44b40}
        7    0.008    0.001    0.008    0.001 {method 'writelines' of '_io._IOBase' objects}
    10668    0.008    0.000    0.021    0.000 memory.py:591(__add_triple_context)
 1361/870    0.008    0.000    0.259    0.000 notation3.py:1121(property_list)
   185512    0.008    0.000    0.008    0.000 boolean.py:364(map_string)
    20000    0.007    0.000    0.007    0.000 adapter_omnipath_networks.py:320(_generate_properties)
    10731    0.007    0.000    0.011    0.000 digraph.py:450(add_node)
     8765    0.007    0.000    0.024    0.000 memory.py:411(triples)
    20000    0.007    0.000    0.037    0.000 adapter_omnipath_networks.py:303(__init__)
    25905    0.007    0.000    0.016    0.000 term.py:286(__new__)
    70377    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     6641    0.006    0.000    0.051    0.000 notation3.py:800(verb)
    25905    0.006    0.000    0.006    0.000 term.py:104(_is_valid_uri)
    10162    0.006    0.000    0.011    0.000 _batch_writer.py:660(_get_node_group_key)
     8899    0.006    0.000    0.107    0.000 notation3.py:1898(makeStatement)
    10000    0.006    0.000    0.009    0.000 _batch_writer.py:1032(consume)
    10162    0.006    0.000    0.009    0.000 _deduplicate.py:31(node_seen)
        3    0.006    0.002    0.006    0.002 numeric.py:50(to_numeric)
    10668    0.006    0.000    0.012    0.000 store.py:236(add)
    15103    0.006    0.000    0.012    0.000 memory.py:681(__ctx_to_str)
31664/21664    0.006    0.000    0.333    0.000 {built-in method builtins.next}
    10162    0.006    0.000    0.007    0.000 _batch_writer.py:571(_get_node_property_types)
14914/11478    0.005    0.000    0.152    0.000 notation3.py:1527(nodeOrLiteral)
        1    0.005    0.005    1.062    1.062 _batch_writer.py:451(write_edges)
    60006    0.005    0.000    0.005    0.000 masked.py:397(__iter__)
    30805    0.005    0.000    0.005    0.000 term.py:1313(__hash__)
    39768    0.005    0.000    0.009    0.000 <frozen abc>:117(__instancecheck__)
    10668    0.005    0.000    0.083    0.000 graph.py:617(add)
    61361    0.005    0.000    0.005    0.000 {method 'pop' of 'list' objects}
72088/72064    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
30165/20165    0.005    0.000    0.324    0.000 more.py:440(__next__)
    20000    0.005    0.000    0.024    0.000 adapter_omnipath_networks.py:311(_generate_id)
    20000    0.004    0.000    0.009    0.000 __init__.py:447(_make)
    15142    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
    10001    0.004    0.000    0.013    0.000 _neo4j.py:70(_write_array_string)
    10008    0.004    0.000    0.205    0.000 <class 'networkx.utils.decorators.argmap'> compilation 36:1(argmap_dfs_tree_33)
    39768    0.004    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
    10669    0.004    0.000    0.006    0.000 events.py:55(__init__)
    11194    0.004    0.000    0.011    0.000 term.py:358(__add__)
    24450    0.004    0.000    0.006    0.000 misc.py:645(_clear_cache)
    10008    0.004    0.000    0.006    0.000 <class 'networkx.utils.decorators.argmap'> compilation 40:1(argmap_dfs_edges_37)
    10012    0.004    0.000    0.010    0.000 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap___new___1)
     2180    0.004    0.000    0.012    0.000 term.py:641(__new__)
       55    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
    41061    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
    10200    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
    10000    0.003    0.000    0.005    0.000 _create.py:184(__post_init__)
    10001    0.003    0.000    0.003    0.000 {built-in method fromkeys}
