         526510755 function calls (521489122 primitive calls) in 128.208 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6   15.445    2.574   69.285   11.547 _batch_writer.py:1154(_write_single_edge_list_to_file)
  1054680    8.512    0.000   12.218    0.000 _translate.py:157(_filter_props)
 24000507    5.779    0.000    6.693    0.000 _mixins.py:287(__getitem__)
  1000728    5.505    0.000   14.285    0.000 digraph.py:748(add_edges_from)
  6102527    5.450    0.000   11.009    0.000 {method 'sub' of 're.Pattern' objects}
        1    4.067    4.067    8.539    8.539 c_parser_wrapper.py:203(read)
  6000046    3.765    0.000    6.963    0.000 depth_first_search.py:18(dfs_edges)
  1000000    3.714    0.000    3.714    0.000 adapter_omnipath_networks.py:461(_generate_properties)
 60661715    3.655    0.000    3.655    0.000 {method 'keys' of 'dict' objects}
  1000001    3.612    0.000   17.316    0.000 adapter_omnipath_networks.py:207(get_edges)
 39690957    3.217    0.000    3.218    0.000 {method 'get' of 'dict' objects}
    54681    3.200    0.000   11.977    0.000 adapter_omnipath_networks.py:187(get_nodes)
 15227329    3.141    0.000    5.559    0.000 _misc.py:214(<lambda>)
 24000333    2.770    0.000    9.462    0.000 base.py:559(__iter__)
 38582825    2.738    0.000    2.738    0.000 {method 'append' of 'list' objects}
  1000001    2.734    0.000   43.040    0.000 _batch_writer.py:526(_get_all_labels)
 24005265    1.806    0.000    1.806    0.000 {method 'lower' of 'str' objects}
  7273401    1.755    0.000    2.606    0.000 _neo4j.py:66(_quote_string)
  6100328    1.612    0.000   14.817    0.000 __init__.py:179(sub)
17228615/17228475    1.527    0.000    1.539    0.000 {built-in method builtins.isinstance}
  6102988    1.507    0.000    2.197    0.000 __init__.py:280(_compile)
  6000040    1.496    0.000   16.207    0.000 _misc.py:199(sentencecase_to_pascalcase)
 15227329    1.370    0.000    1.370    0.000 {method 'group' of 're.Match' objects}
  4000000    1.338    0.000    3.547    0.000 adapter_omnipath_networks.py:30(stable_node_id)
     1302    1.300    0.001    3.142    0.002 boolean.py:347(_from_sequence_of_strings)
  1000001    1.192    0.000   32.770    0.000 _translate.py:205(translate_edges)
  4000000    1.184    0.000    1.832    0.000 adapter_omnipath_networks.py:26(normalise_entity_type)
  6000034    1.138    0.000   17.345    0.000 _translate.py:483(name_sentence_to_pascal)
  1000012    1.095    0.000    1.860    0.000 digraph.py:344(__init__)
 12017579    1.078    0.000    1.078    0.000 {method 'update' of 'dict' objects}
15021357/14020464    1.050    0.000    1.206    0.000 {built-in method builtins.len}
 15227331    1.047    0.000    1.047    0.000 {method 'upper' of 'str' objects}
  1000008    1.029    0.000   19.716    0.000 depth_first_search.py:115(dfs_tree)
  6000061    0.988    0.000    1.380    0.000 digraph.py:912(successors)
  1000000    0.960    0.000    7.365    0.000 adapter_omnipath_networks.py:425(__init__)
  1000000    0.923    0.000    1.342    0.000 _deduplicate.py:54(edge_seen)
 24000495    0.913    0.000    0.913    0.000 _mixins.py:107(_box_func)
  8095053    0.911    0.000    0.911    0.000 {method 'replace' of 'str' objects}
       12    0.902    0.075    0.902    0.075 string_.py:1097(memory_usage)
  3110405    0.874    0.000    1.088    0.000 {method 'join' of 'str' objects}
3000035/1000016    0.867    0.000   20.081    0.000 backends.py:541(_call_if_no_backends_installed)
     2610    0.862    0.000    0.862    0.000 missing.py:260(_isna_string_dtype)
 18545684    0.770    0.000    0.770    0.000 boolean.py:364(map_string)
  7141794    0.719    0.000    0.723    0.000 {method 'add' of 'set' objects}
        7    0.706    0.101    0.706    0.101 {method 'writelines' of '_io._IOBase' objects}
  2000000    0.667    0.000    0.667    0.000 adapter_omnipath_networks.py:320(_generate_properties)
  1000731    0.624    0.000    0.984    0.000 digraph.py:450(add_node)
      186    0.619    0.003    0.625    0.003 numeric.py:50(to_numeric)
  1000000    0.607    0.000    0.871    0.000 _batch_writer.py:1032(consume)
  2000000    0.600    0.000    3.378    0.000 adapter_omnipath_networks.py:303(__init__)
        1    0.527    0.527  104.948  104.948 _batch_writer.py:451(write_edges)
  6000006    0.504    0.000    0.504    0.000 masked.py:397(__iter__)
  6001361    0.464    0.000    0.464    0.000 {method 'pop' of 'list' objects}
7002088/7002064    0.459    0.000    0.459    0.000 {built-in method builtins.iter}
  2000000    0.437    0.000    2.111    0.000 adapter_omnipath_networks.py:311(_generate_id)
  1000001    0.434    0.000    1.336    0.000 _neo4j.py:70(_write_array_string)
  1000008    0.426    0.000   20.495    0.000 <class 'networkx.utils.decorators.argmap'> compilation 36:1(argmap_dfs_tree_33)
  2000000    0.410    0.000    0.814    0.000 __init__.py:447(_make)
  3030603    0.405    0.000    0.405    0.000 {built-in method __new__ of type object at 0xa44b40}
2056182/1056182    0.384    0.000   29.818    0.000 {built-in method builtins.next}
  1000008    0.370    0.000    0.622    0.000 <class 'networkx.utils.decorators.argmap'> compilation 40:1(argmap_dfs_edges_37)
  1000012    0.367    0.000    0.941    0.000 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap___new___1)
  2004450    0.347    0.000    0.515    0.000 misc.py:645(_clear_cache)
  1000000    0.345    0.000    0.542    0.000 _create.py:184(__post_init__)
  1000001    0.344    0.000    0.344    0.000 {built-in method fromkeys}
  4100323    0.317    0.000    0.317    0.000 {method 'strip' of 'str' objects}
  2000013    0.310    0.000    0.459    0.000 graph.py:487(__len__)
2054683/1054683    0.301    0.000   29.973    0.000 more.py:440(__next__)
     3917    0.283    0.000    0.283    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
        1    0.275    0.275    0.479    0.479 _batch_writer.py:867(_write_single_node_list_to_file)
  1000008    0.268    0.000   20.763    0.000 _ontology.py:754(get_ancestors)
        1    0.262    0.262  105.213  105.213 _core.py:412(_add_edges)
  1000014    0.239    0.000    0.239    0.000 digraph.py:41(__set__)
  1000000    0.231    0.000    1.281    0.000 adapter_omnipath_networks.py:447(_generate_source_id)
  2228447    0.225    0.000    0.225    0.000 {method 'items' of 'dict' objects}
  3000000    0.224    0.000    0.224    0.000 _create.py:211(get_id)
  1000000    0.219    0.000    1.041    0.000 adapter_omnipath_networks.py:454(_generate_target_id)
  1000022    0.216    0.000    0.352    0.000 enum.py:726(__call__)
  2000002    0.214    0.000    0.214    0.000 _neo4j.py:83(<genexpr>)
  1000000    0.210    0.000    0.210    0.000 adapter_omnipath_networks.py:434(_generate_id)
  1000000    0.202    0.000    0.202    0.000 adapter_omnipath_networks.py:388(get_id)
       45    0.195    0.004    0.195    0.004 {method 'read' of '_ssl._SSLSocket' objects}
  1000012    0.193    0.000    0.314    0.000 digraph.py:340(__new__)
  1000014    0.188    0.000    0.188    0.000 digraph.py:78(__set__)
  1054680    0.173    0.000    0.268    0.000 _translate.py:394(_get_ontology_mapping)
  2012335    0.169    0.000    0.169    0.000 {built-in method builtins.getattr}
  1000000    0.158    0.000    0.158    0.000 adapter_omnipath_networks.py:441(_generate_label)
  3000006    0.156    0.000    0.156    0.000 _create.py:248(get_type)
     3939    0.149    0.000    0.149    0.000 {built-in method zlib.crc32}
  1000003    0.143    0.000    0.210    0.000 graph.py:455(__iter__)
        1    0.142    0.142  128.926  128.926 profile_knowledge_graphs.py:389(build_profiled_knowledge_graph)
     1302    0.141    0.000    0.674    0.001 boolean.py:178(coerce_to_array)
    54680    0.141    0.000    0.237    0.000 _create.py:52(__post_init__)
     1521    0.136    0.000    0.136    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1000022    0.136    0.000    0.136    0.000 enum.py:1129(__new__)
  2000000    0.131    0.000    0.131    0.000 _create.py:221(get_source_id)
  2000000    0.130    0.000    0.130    0.000 _create.py:230(get_target_id)
  1000014    0.128    0.000    0.128    0.000 graph.py:63(__set__)
  1000000    0.116    0.000    0.116    0.000 _create.py:257(get_properties)
  2000000    0.111    0.000    0.111    0.000 adapter_omnipath_networks.py:407(get_label)
  2000000    0.108    0.000    0.108    0.000 adapter_omnipath_networks.py:279(get_id)
  1002322    0.102    0.000    0.102    0.000 {method 'pop' of 'dict' objects}
      759    0.086    0.000    0.088    0.000 string_.py:755(_from_sequence)
        1    0.072    0.072   69.357   69.357 _batch_writer.py:1125(flush)
  1000006    0.070    0.000    0.103    0.000 _batch_writer.py:1179(<genexpr>)
    54681    0.067    0.000   12.536    0.000 _translate.py:75(translate_nodes)
    54680    0.061    0.000    0.226    0.000 _batch_writer.py:784(consume)
  1000000    0.059    0.000    0.059    0.000 adapter_omnipath_networks.py:395(get_source_id)
       13    0.058    0.004    0.058    0.004 _mixins.py:235(_concat_same_type)
  1000000    0.056    0.000    0.056    0.000 adapter_omnipath_networks.py:401(get_target_id)
  1000000    0.053    0.000    0.053    0.000 adapter_omnipath_networks.py:413(get_properties)
  1000000    0.052    0.000    0.052    0.000 _create.py:239(get_label)
    10668    0.052    0.000    0.100    0.000 memory.py:313(add)
     4168    0.042    0.000    0.152    0.000 {built-in method builtins.all}
      127    0.039    0.000    0.045    0.000 blocks.py:639(copy)
    54680    0.037    0.000    0.052    0.000 _deduplicate.py:31(node_seen)
    54680    0.035    0.000    0.060    0.000 _batch_writer.py:660(_get_node_group_key)
    54680    0.033    0.000    0.042    0.000 _batch_writer.py:571(_get_node_property_types)
     3922    0.031    0.000    0.031    0.000 {built-in method _codecs.utf_8_decode}
        1    0.025    0.025    9.663    9.663 adapter_omnipath_networks.py:140(_load_dataframe)
   100288    0.024    0.000    0.024    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
