         2321360 function calls (2294717 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7277    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      523    0.001    0.000    0.003    0.000 __init__.py:298(__init__)
      546    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     4703    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     4000    0.001    0.000    0.002    0.000 adapter_omnipath_networks.py:26(normalise_entity_type)
     1001    0.001    0.000    0.031    0.000 _translate.py:205(translate_edges)
     4721    0.001    0.000    0.002    0.000 scanner.py:145(need_more_tokens)
      386    0.001    0.000    0.004    0.000 scanner.py:1270(scan_plain)
     6030    0.001    0.000    0.018    0.000 _translate.py:483(name_sentence_to_pascal)
     1012    0.001    0.000    0.004    0.000 digraph.py:344(__init__)
     1731    0.001    0.000    0.002    0.000 digraph.py:450(add_node)
     6483    0.001    0.000    0.003    0.000 memory.py:659(__triple_has_context)
    15299    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
    14691    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     2985    0.001    0.000    0.001    0.000 reader.py:99(forward)
     2981    0.001    0.000    0.015    0.000 graph.py:790(__contains__)
     1008    0.001    0.000    0.021    0.000 depth_first_search.py:115(dfs_tree)
     1000    0.001    0.000    0.008    0.000 adapter_omnipath_networks.py:425(__init__)
     6061    0.001    0.000    0.001    0.000 digraph.py:912(successors)
    24495    0.001    0.000    0.001    0.000 _mixins.py:107(_box_func)
     2898    0.001    0.000    0.010    0.000 scanner.py:113(check_token)
     1213    0.001    0.000    0.001    0.000 digraph.py:579(remove_node)
    11173    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1618    0.001    0.000    0.002    0.000 _batch_writer.py:660(_get_node_group_key)
      940    0.001    0.000    0.003    0.000 notation3.py:594(directive)
5120/4120    0.001    0.000    0.045    0.000 {built-in method builtins.next}
     6450    0.001    0.000    0.001    0.000 misc.py:645(_clear_cache)
     5281    0.001    0.000    0.038    0.000 notation3.py:886(prop)
       48    0.001    0.000    0.001    0.000 missing.py:260(_isna_string_dtype)
3035/1016    0.001    0.000    0.033    0.000 backends.py:541(_call_if_no_backends_installed)
10806/10803    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1618    0.001    0.000    0.001    0.000 _batch_writer.py:571(_get_node_property_types)
       12    0.001    0.000    0.001    0.000 string_.py:1097(memory_usage)
     1618    0.001    0.000    0.001    0.000 _deduplicate.py:31(node_seen)
     1880    0.001    0.000    0.001    0.000 notation3.py:577(sparqlTok)
     4907    0.001    0.000    0.001    0.000 scanner.py:279(stale_possible_simple_keys)
   100/99    0.001    0.000    0.002    0.000 __init__.py:925(insert_trie)
      940    0.001    0.000    0.277    0.000 notation3.py:529(directiveOrStatement)
        2    0.001    0.000    0.001    0.000 {built-in method _socket.getaddrinfo}
        1    0.001    0.001    0.025    0.025 _ontology.py:238(_add_labels_to_nodes)
    10668    0.001    0.000    0.001    0.000 events.py:94(dispatch)
      405    0.001    0.000    0.002    0.000 scanner.py:1311(scan_plain_spaces)
     1000    0.001    0.000    0.001    0.000 _deduplicate.py:54(edge_seen)
        5    0.001    0.000    0.001    0.000 {method 'writelines' of '_io._IOBase' objects}
    18572    0.001    0.000    0.001    0.000 boolean.py:364(map_string)
     1753    0.001    0.000    0.009    0.000 notation3.py:1868(newLiteral)
     9577    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    11893    0.001    0.000    0.001    0.000 reader.py:87(peek)
     1434    0.001    0.000    0.001    0.000 reportviews.py:771(__init__)
     2000    0.001    0.000    0.001    0.000 adapter_omnipath_networks.py:320(_generate_properties)
        1    0.001    0.001    0.002    0.002 c_parser_wrapper.py:65(__init__)
        1    0.001    0.001    0.026    0.026 _ontology.py:115(_get_one_to_one_inheritance_triples)
      401    0.001    0.000    0.003    0.000 parser.py:273(parse_node)
     2000    0.001    0.000    0.004    0.000 adapter_omnipath_networks.py:303(__init__)
      587    0.001    0.000    0.008    0.000 scanner.py:156(fetch_more_tokens)
        3    0.001    0.000    0.001    0.000 numeric.py:50(to_numeric)
     1656    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
9088/9064    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     1000    0.001    0.000    0.001    0.000 _batch_writer.py:1032(consume)
     7361    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
3621/2621    0.001    0.000    0.033    0.000 more.py:440(__next__)
     6006    0.001    0.000    0.001    0.000 masked.py:397(__iter__)
     1434    0.001    0.000    0.002    0.000 reportviews.py:1102(__call__)
     2628    0.001    0.000    0.002    0.000 __init__.py:174(search)
        1    0.001    0.001    0.106    0.106 _batch_writer.py:451(write_edges)
     4075    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     2180    0.001    0.000    0.001    0.000 term.py:118(_is_valid_unicode)
       70    0.001    0.000    0.001    0.000 notation3.py:1984(hexify)
       23    0.001    0.000    0.001    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
     2000    0.000    0.000    0.003    0.000 adapter_omnipath_networks.py:311(_generate_id)
      205    0.000    0.000    0.001    0.000 managers.py:1226(iget)
      523    0.000    0.000    0.001    0.000 __init__.py:1611(findCaller)
     1175    0.000    0.000    0.001    0.000 term.py:1352(__eq__)
     1435    0.000    0.000    0.001    0.000 _ontology.py:364(_remove_prefix)
     2000    0.000    0.000    0.001    0.000 __init__.py:447(_make)
     1435    0.000    0.000    0.008    0.000 graph.py:987(objects)
     2180    0.000    0.000    0.001    0.000 term.py:2241(_castLexicalToPython)
     1008    0.000    0.000    0.021    0.000 <class 'networkx.utils.decorators.argmap'> compilation 36:1(argmap_dfs_tree_33)
        1    0.000    0.000    0.051    0.051 _batch_writer.py:714(_write_node_data)
     1001    0.000    0.000    0.001    0.000 _neo4j.py:70(_write_array_string)
