         1759498 function calls (1733911 primitive calls) in 0.798 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.288    0.006    0.288    0.006 {method 'read' of '_ssl._SSLSocket' objects}
280735/280595    0.022    0.000    0.033    0.000 {built-in method builtins.isinstance}
    10668    0.020    0.000    0.067    0.000 memory.py:313(add)
    14543    0.019    0.000    0.022    0.000 notation3.py:1386(qname)
        1    0.019    0.019    0.019    0.019 managers.py:2447(_tuples_to_blocks_no_consolidate)
        2    0.017    0.008    0.017    0.008 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    68702    0.016    0.000    0.020    0.000 notation3.py:552(tok)
    69305    0.013    0.000    0.023    0.000 notation3.py:1305(skipSpace)
    26697    0.013    0.000    0.028    0.000 notation3.py:1924(normalise)
14914/11478    0.012    0.000    0.136    0.000 notation3.py:925(node)
    14473    0.012    0.000    0.059    0.000 notation3.py:1229(uri_ref2)
        2    0.012    0.006    0.012    0.006 {method 'connect' of '_socket.socket' objects}
    41014    0.010    0.000    0.010    0.000 term.py:167(__eq__)
        1    0.009    0.009    0.009    0.009 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
    35480    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
    10668    0.008    0.000    0.022    0.000 memory.py:591(__add_triple_context)
 1361/870    0.008    0.000    0.259    0.000 notation3.py:1121(property_list)
     8765    0.007    0.000    0.024    0.000 memory.py:411(triples)
    25915    0.007    0.000    0.017    0.000 term.py:286(__new__)
    25915    0.006    0.000    0.006    0.000 term.py:104(_is_valid_uri)
     6641    0.006    0.000    0.051    0.000 notation3.py:800(verb)
     8899    0.006    0.000    0.108    0.000 notation3.py:1898(makeStatement)
    10668    0.006    0.000    0.012    0.000 store.py:236(add)
    15103    0.006    0.000    0.012    0.000 memory.py:681(__ctx_to_str)
    33548    0.006    0.000    0.010    0.000 {method 'add' of 'set' objects}
103918/102844    0.006    0.000    0.006    0.000 {built-in method builtins.len}
14914/11478    0.005    0.000    0.153    0.000 notation3.py:1527(nodeOrLiteral)
    30408    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
    44597    0.005    0.000    0.007    0.000 {method 'get' of 'dict' objects}
    30805    0.005    0.000    0.005    0.000 term.py:1313(__hash__)
    40051    0.005    0.000    0.011    0.000 <frozen abc>:117(__instancecheck__)
    10668    0.005    0.000    0.084    0.000 graph.py:617(add)
    15153    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
    40051    0.004    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
    11194    0.004    0.000    0.011    0.000 term.py:358(__add__)
    44103    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     2180    0.004    0.000    0.012    0.000 term.py:641(__new__)
    10669    0.003    0.000    0.005    0.000 events.py:55(__init__)
     8252    0.003    0.000    0.006    0.000 memory.py:644(__get_context_for_triple)
14914/11478    0.003    0.000    0.155    0.000 notation3.py:895(path)
6641/4746    0.003    0.000    0.129    0.000 notation3.py:1202(objectList)
    12351    0.003    0.000    0.011    0.000 notation3.py:1850(newSymbol)
     8765    0.003    0.000    0.029    0.000 graph.py:672(triples)
14914/11478    0.003    0.000    0.157    0.000 notation3.py:889(item)
     8252    0.002    0.000    0.008    0.000 memory.py:702(__contexts)
     2180    0.002    0.000    0.004    0.000 term.py:2091(_castPythonToLiteral)
    10668    0.002    0.000    0.004    0.000 graph.py:803(__hash__)
        1    0.002    0.002    0.010    0.010 relabel.py:130(_relabel_inplace)
    18841    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     1435    0.002    0.000    0.012    0.000 _ontology.py:322(_get_nx_id_and_label)
      828    0.002    0.000    0.005    0.000 digraph.py:748(add_edges_from)
    40874    0.002    0.000    0.002    0.000 graph.py:550(identifier)
     1775    0.002    0.000    0.003    0.000 digraph.py:677(add_edge)
     8627    0.002    0.000    0.107    0.000 notation3.py:780(makeStatement)
     1753    0.002    0.000    0.003    0.000 notation3.py:1601(strconst)
