['data/subset_interactions_edgecases.tsv']
         2366545 function calls (2328730 primitive calls) in 2.216 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2303    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:372(release)
     8627    0.004    0.000    0.318    0.000 notation3.py:767(makeStatement)
    39440    0.004    0.000    0.004    0.000 graph.py:464(identifier)
    17856    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
9497/7602    0.004    0.000    0.328    0.000 notation3.py:1481(object)
     1108    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      723    0.004    0.000    0.008    0.000 digraph.py:737(add_edges_from)
     1213    0.004    0.000    0.005    0.000 digraph.py:568(remove_node)
     1211    0.004    0.000    0.011    0.000 decorators.py:766(__call__)
   1108/9    0.004    0.000    0.858    0.095 <frozen importlib._bootstrap>:905(_load_unlocked)
     1054    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
    11056    0.003    0.000    0.005    0.000 _parser.py:164(__getitem__)
9497/7602    0.003    0.000    0.325    0.000 notation3.py:784(subject)
    19659    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
    12622    0.003    0.000    0.005    0.000 _parser.py:254(get)
     1770    0.003    0.000    0.034    0.000 _ontology.py:178(has_label)
       44    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
16155/15898    0.003    0.000    0.003    0.000 {built-in method builtins.hash}
      447    0.003    0.000    0.027    0.000 textwrap.py:419(dedent)
     3727    0.003    0.000    0.007    0.000 typing.py:1162(__setattr__)
     2303    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:162(__enter__)
       44    0.003    0.000    0.007    0.000 __init__.py:355(namedtuple)
      145    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     2022    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
        1    0.003    0.003    0.020    0.020 external_graph_libs.py:29(_rdflib_to_networkx_graph)
     1071    0.003    0.000    0.009    0.000 typing.py:175(_type_check)
     1079    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
      587    0.003    0.000    0.007    0.000 typing.py:258(_collect_parameters)
     5766    0.003    0.000    0.007    0.000 memory.py:663(__triple_has_context)
    15998    0.003    0.000    0.003    0.000 _parser.py:233(__next)
     2021    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1753    0.003    0.000    0.025    0.000 notation3.py:1855(newLiteral)
